date,game,platform,region,revenue_usd,dau,downloads
2022-11-02,승리의여신: 니케,iOS,기타,0.00,3609.0,5588
2022-11-02,승리의여신: 니케,iOS,미국,0.00,33262.0,44833
2022-11-02,승리의여신: 니케,iOS,아시아,119.95,60251.0,83946
2022-11-02,승리의여신: 니케,iOS,유럽,35.35,3072.0,4376
2022-11-02,승리의여신: 니케,iOS,일본,48.92,43395.0,45564
2022-11-02,승리의여신: 니케,iOS,한국,0.00,23088.0,33821
2022-11-03,승리의여신: 니케,AOS,기타,17467.62,42327.0,54407
2022-11-03,승리의여신: 니케,AOS,미국,118104.03,54262.0,70645
2022-11-03,승리의여신: 니케,AOS,아시아,77692.10,170507.0,210532
2022-11-03,승리의여신: 니케,AOS,유럽,21379.30,20173.0,28259
2022-11-03,승리의여신: 니케,AOS,일본,126877.81,15443.0,16215
2022-11-03,승리의여신: 니케,AOS,한국,196743.51,36065.0,40838
2022-11-03,승리의여신: 니케,iOS,기타,25176.25,6444.0,5496
2022-11-03,승리의여신: 니케,iOS,미국,176631.95,47601.0,32511
2022-11-03,승리의여신: 니케,iOS,아시아,56427.75,106767.0,95002
2022-11-03,승리의여신: 니케,iOS,유럽,9375.57,7552.0,8428
2022-11-03,승리의여신: 니케,iOS,일본,16433.21,148628.0,110494
2022-11-03,승리의여신: 니케,iOS,한국,61944.32,32290.0,26018
2022-11-04,승리의여신: 니케,AOS,기타,34046.40,78294.0,67080
2022-11-04,승리의여신: 니케,AOS,미국,115061.29,58251.0,33539
2022-11-04,승리의여신: 니케,AOS,아시아,109189.90,294556.0,194820
2022-11-04,승리의여신: 니케,AOS,유럽,31071.03,37162.0,34464
2022-11-04,승리의여신: 니케,AOS,일본,215201.92,30469.0,15777
2022-11-04,승리의여신: 니케,AOS,한국,212482.18,84995.0,70539
2022-11-04,승리의여신: 니케,iOS,기타,65550.60,8549.0,5885
2022-11-04,승리의여신: 니케,iOS,미국,400601.03,55068.0,23470
2022-11-04,승리의여신: 니케,iOS,아시아,264918.12,144059.0,84409
2022-11-04,승리의여신: 니케,iOS,유럽,36713.93,10961.0,8273
2022-11-04,승리의여신: 니케,iOS,일본,563352.10,223161.0,85733
2022-11-04,승리의여신: 니케,iOS,한국,307105.80,38226.0,21828
2022-11-05,승리의여신: 니케,AOS,기타,52854.68,119447.0,86946
2022-11-05,승리의여신: 니케,AOS,미국,204916.42,74670.0,37395
2022-11-05,승리의여신: 니케,AOS,아시아,109804.67,370058.0,154668
2022-11-05,승리의여신: 니케,AOS,유럽,40497.79,55799.0,43190
2022-11-05,승리의여신: 니케,AOS,일본,175283.49,41260.0,11331
2022-11-05,승리의여신: 니케,AOS,한국,183351.23,67422.0,10445
2022-11-05,승리의여신: 니케,iOS,기타,66077.14,11572.0,6994
2022-11-05,승리의여신: 니케,iOS,미국,293071.89,66314.0,26324
2022-11-05,승리의여신: 니케,iOS,아시아,313951.17,175556.0,84101
2022-11-05,승리의여신: 니케,iOS,유럽,38882.19,13794.0,8541
2022-11-05,승리의여신: 니케,iOS,일본,1502779.47,258937.0,68486
2022-11-05,승리의여신: 니케,iOS,한국,224859.58,43231.0,20301
2022-11-06,승리의여신: 니케,AOS,기타,55831.49,148481.0,85704
2022-11-06,승리의여신: 니케,AOS,미국,201447.92,84705.0,33139
2022-11-06,승리의여신: 니케,AOS,아시아,102542.89,401019.0,111931
2022-11-06,승리의여신: 니케,AOS,유럽,45754.07,69656.0,42796
2022-11-06,승리의여신: 니케,AOS,일본,204819.66,47549.0,6603
2022-11-06,승리의여신: 니케,AOS,한국,172961.77,63033.0,8805
2022-11-06,승리의여신: 니케,iOS,기타,62247.73,13166.0,5647
2022-11-06,승리의여신: 니케,iOS,미국,258011.23,70228.0,19421
2022-11-06,승리의여신: 니케,iOS,아시아,297103.61,186708.0,61666
2022-11-06,승리의여신: 니케,iOS,유럽,35191.36,16493.0,8889
2022-11-06,승리의여신: 니케,iOS,일본,1560248.04,286285.0,61074
2022-11-06,승리의여신: 니케,iOS,한국,147216.87,47007.0,18592
2022-11-07,승리의여신: 니케,AOS,기타,87435.83,176077.0,59842
2022-11-07,승리의여신: 니케,AOS,미국,277964.96,98775.0,25068
2022-11-07,승리의여신: 니케,AOS,아시아,146980.50,470551.0,88198
2022-11-07,승리의여신: 니케,AOS,유럽,45955.01,82003.0,24976
2022-11-07,승리의여신: 니케,AOS,일본,483916.30,56104.0,8983
2022-11-07,승리의여신: 니케,AOS,한국,422910.34,64234.0,7701
2022-11-07,승리의여신: 니케,iOS,기타,57237.77,14638.0,4716
2022-11-07,승리의여신: 니케,iOS,미국,256032.57,73594.0,11727
2022-11-07,승리의여신: 니케,iOS,아시아,235404.30,187916.0,38687
2022-11-07,승리의여신: 니케,iOS,유럽,29636.71,18832.0,7104
2022-11-07,승리의여신: 니케,iOS,일본,976047.73,332953.0,55952
2022-11-07,승리의여신: 니케,iOS,한국,173843.63,41238.0,9457
2022-11-08,승리의여신: 니케,AOS,기타,86478.99,154406.0,47124
2022-11-08,승리의여신: 니케,AOS,미국,258103.15,94846.0,21434
2022-11-08,승리의여신: 니케,AOS,아시아,211056.38,428838.0,85001
2022-11-08,승리의여신: 니케,AOS,유럽,66778.17,73516.0,24920
2022-11-08,승리의여신: 니케,AOS,일본,550770.28,64817.0,9148
2022-11-08,승리의여신: 니케,AOS,한국,647387.03,68453.0,6752
2022-11-08,승리의여신: 니케,iOS,기타,56658.07,13600.0,2318
2022-11-08,승리의여신: 니케,iOS,미국,299711.01,70840.0,8663
2022-11-08,승리의여신: 니케,iOS,아시아,275329.73,167921.0,26971
2022-11-08,승리의여신: 니케,iOS,유럽,30603.13,17796.0,5929
2022-11-08,승리의여신: 니케,iOS,일본,582997.11,344953.0,55512
2022-11-08,승리의여신: 니케,iOS,한국,131710.09,43329.0,5578
2022-11-09,승리의여신: 니케,AOS,기타,87339.30,141239.0,32329
2022-11-09,승리의여신: 니케,AOS,미국,281832.93,91105.0,15576
2022-11-09,승리의여신: 니케,AOS,아시아,204513.34,421322.0,69395
2022-11-09,승리의여신: 니케,AOS,유럽,77417.35,70733.0,21033
2022-11-09,승리의여신: 니케,AOS,일본,408440.88,73789.0,9421
2022-11-09,승리의여신: 니케,AOS,한국,613121.98,49585.0,8400
2022-11-09,승리의여신: 니케,iOS,기타,48097.44,12799.0,2079
2022-11-09,승리의여신: 니케,iOS,미국,257346.30,68254.0,7464
2022-11-09,승리의여신: 니케,iOS,아시아,217263.78,153350.0,19199
2022-11-09,승리의여신: 니케,iOS,유럽,23472.97,16781.0,3355
2022-11-09,승리의여신: 니케,iOS,일본,511229.50,325700.0,39311
2022-11-09,승리의여신: 니케,iOS,한국,148566.03,32257.0,3894
2022-11-10,승리의여신: 니케,AOS,기타,85605.65,127515.0,18190
2022-11-10,승리의여신: 니케,AOS,미국,324033.25,86317.0,12833
2022-11-10,승리의여신: 니케,AOS,아시아,258804.36,412015.0,56220
2022-11-10,승리의여신: 니케,AOS,유럽,75808.46,65566.0,15533
2022-11-10,승리의여신: 니케,AOS,일본,369845.27,82091.0,8717
2022-11-10,승리의여신: 니케,AOS,한국,922283.02,52293.0,9284
2022-11-10,승리의여신: 니케,iOS,기타,59051.95,12103.0,1821
2022-11-10,승리의여신: 니케,iOS,미국,317423.72,64948.0,6779
2022-11-10,승리의여신: 니케,iOS,아시아,247384.98,154158.0,14195
2022-11-10,승리의여신: 니케,iOS,유럽,34396.64,15733.0,2924
2022-11-10,승리의여신: 니케,iOS,일본,611982.18,321473.0,34973
2022-11-10,승리의여신: 니케,iOS,한국,125048.17,33562.0,3166
2022-11-11,승리의여신: 니케,AOS,기타,121973.20,114007.0,14141
2022-11-11,승리의여신: 니케,AOS,미국,510545.08,85251.0,8878
2022-11-11,승리의여신: 니케,AOS,아시아,240171.23,419517.0,59211
2022-11-11,승리의여신: 니케,AOS,유럽,86012.79,63620.0,15285
2022-11-11,승리의여신: 니케,AOS,일본,598004.31,86067.0,11073
2022-11-11,승리의여신: 니케,AOS,한국,781636.45,47993.0,11633
2022-11-11,승리의여신: 니케,iOS,기타,66025.20,11500.0,1884
2022-11-11,승리의여신: 니케,iOS,미국,338417.41,64269.0,7474
2022-11-11,승리의여신: 니케,iOS,아시아,314061.14,160398.0,12005
2022-11-11,승리의여신: 니케,iOS,유럽,43006.47,14976.0,2393
2022-11-11,승리의여신: 니케,iOS,일본,1720732.55,332916.0,30694
2022-11-11,승리의여신: 니케,iOS,한국,117788.22,30923.0,3035
2022-11-12,승리의여신: 니케,AOS,기타,97047.45,103943.0,14686
2022-11-12,승리의여신: 니케,AOS,미국,389158.85,83503.0,8912
2022-11-12,승리의여신: 니케,AOS,아시아,182139.71,424207.0,47084
2022-11-12,승리의여신: 니케,AOS,유럽,74408.12,61347.0,17058
2022-11-12,승리의여신: 니케,AOS,일본,573954.36,90339.0,12989
2022-11-12,승리의여신: 니케,AOS,한국,718699.88,69450.0,8974
2022-11-12,승리의여신: 니케,iOS,기타,47283.48,11156.0,1799
2022-11-12,승리의여신: 니케,iOS,미국,257705.16,63068.0,6910
2022-11-12,승리의여신: 니케,iOS,아시아,233013.57,160586.0,11143
2022-11-12,승리의여신: 니케,iOS,유럽,33504.99,14309.0,2464
2022-11-12,승리의여신: 니케,iOS,일본,1888352.13,346369.0,38297
2022-11-12,승리의여신: 니케,iOS,한국,119162.95,43051.0,3879
2022-11-13,승리의여신: 니케,AOS,기타,95665.30,101887.0,13507
2022-11-13,승리의여신: 니케,AOS,미국,316262.88,79502.0,9306
2022-11-13,승리의여신: 니케,AOS,아시아,155368.74,414769.0,36301
2022-11-13,승리의여신: 니케,AOS,유럽,68390.44,58805.0,14052
2022-11-13,승리의여신: 니케,AOS,일본,439771.89,88986.0,7460
2022-11-13,승리의여신: 니케,AOS,한국,651797.82,70588.0,9037
2022-11-13,승리의여신: 니케,iOS,기타,39775.70,11249.0,1857
2022-11-13,승리의여신: 니케,iOS,미국,192148.93,60361.0,6565
2022-11-13,승리의여신: 니케,iOS,아시아,178010.50,157412.0,9351
2022-11-13,승리의여신: 니케,iOS,유럽,23125.09,13733.0,2375
2022-11-13,승리의여신: 니케,iOS,일본,1327195.96,339238.0,29664
2022-11-13,승리의여신: 니케,iOS,한국,129418.99,43576.0,3563
2022-11-14,승리의여신: 니케,AOS,기타,61298.62,102092.0,17875
2022-11-14,승리의여신: 니케,AOS,미국,258232.85,70834.0,6777
2022-11-14,승리의여신: 니케,AOS,아시아,131562.05,406253.0,31678
2022-11-14,승리의여신: 니케,AOS,유럽,54412.50,55444.0,8412
2022-11-14,승리의여신: 니케,AOS,일본,504466.17,78076.0,7398
2022-11-14,승리의여신: 니케,AOS,한국,696525.04,57016.0,4554
2022-11-14,승리의여신: 니케,iOS,기타,37609.82,11200.0,1811
2022-11-14,승리의여신: 니케,iOS,미국,168795.31,54311.0,4418
2022-11-14,승리의여신: 니케,iOS,아시아,141463.73,147801.0,7887
2022-11-14,승리의여신: 니케,iOS,유럽,23114.50,12941.0,1702
2022-11-14,승리의여신: 니케,iOS,일본,2112875.13,299071.0,21156
2022-11-14,승리의여신: 니케,iOS,한국,140200.83,35721.0,2969
2022-11-15,승리의여신: 니케,AOS,기타,50567.59,106903.0,22210
2022-11-15,승리의여신: 니케,AOS,미국,234427.72,66602.0,5180
2022-11-15,승리의여신: 니케,AOS,아시아,145998.26,390477.0,28560
2022-11-15,승리의여신: 니케,AOS,유럽,54181.22,52066.0,7300
2022-11-15,승리의여신: 니케,AOS,일본,1057948.45,77283.0,5801
2022-11-15,승리의여신: 니케,AOS,한국,624494.00,48692.0,3952
2022-11-15,승리의여신: 니케,iOS,기타,35132.61,11435.0,1704
2022-11-15,승리의여신: 니케,iOS,미국,181471.31,51375.0,4645
2022-11-15,승리의여신: 니케,iOS,아시아,199032.67,140815.0,6597
2022-11-15,승리의여신: 니케,iOS,유럽,22773.84,12158.0,1419
2022-11-15,승리의여신: 니케,iOS,일본,890373.39,293526.0,17814
2022-11-15,승리의여신: 니케,iOS,한국,149277.39,30860.0,2558
2022-11-16,승리의여신: 니케,AOS,기타,49111.15,105270.0,18124
