year_month,game,platform,region,mau,revenue_usd,downloads,rpd
2021-02,블루 아카이브,AOS,일본,277331,,,
2021-02,블루 아카이브,iOS,일본,514565,,,
2021-03,블루 아카이브,AOS,일본,165741,,,
2021-03,블루 아카이브,iOS,일본,350785,,,
2021-04,블루 아카이브,AOS,일본,103510,,,
2021-04,블루 아카이브,iOS,일본,217101,,,
2021-05,블루 아카이브,AOS,일본,101031,,,
2021-05,블루 아카이브,iOS,일본,207462,,,
2021-06,블루 아카이브,AOS,일본,85218,,,
2021-06,블루 아카이브,iOS,일본,172377,,,
2021-07,블루 아카이브,AOS,일본,105761,,,
2021-07,블루 아카이브,iOS,일본,207498,,,
2021-08,블루 아카이브,AOS,일본,128731,,,
2021-08,블루 아카이브,iOS,일본,248472,,,
2021-09,블루 아카이브,AOS,일본,94441,,,
2021-09,블루 아카이브,iOS,일본,181613,,,
2021-10,블루 아카이브,AOS,일본,116705,,,
2021-10,블루 아카이브,iOS,일본,222263,,,
2021-11,블루 아카이브,AOS,기타,51682,,,
2021-11,블루 아카이브,AOS,미국,86889,,,
2021-11,블루 아카이브,AOS,아시아,500515,,,
2021-11,블루 아카이브,AOS,유럽,54278,,,
2021-11,블루 아카이브,AOS,일본,150296,,,
2021-11,블루 아카이브,AOS,한국,319473,,,
2021-11,블루 아카이브,iOS,기타,5897,,,
2021-11,블루 아카이브,iOS,미국,20824,,,
2021-11,블루 아카이브,iOS,아시아,55444,,,
2021-11,블루 아카이브,iOS,유럽,7462,,,
2021-11,블루 아카이브,iOS,일본,280374,,,
2021-11,블루 아카이브,iOS,한국,48669,,,
2021-12,블루 아카이브,AOS,기타,44178,,,
2021-12,블루 아카이브,AOS,미국,63689,,,
2021-12,블루 아카이브,AOS,아시아,363000,,,
2021-12,블루 아카이브,AOS,유럽,44254,,,
2021-12,블루 아카이브,AOS,일본,119405,,,
2021-12,블루 아카이브,AOS,한국,228468,,,
2021-12,블루 아카이브,iOS,기타,4904,,,
2021-12,블루 아카이브,iOS,미국,22133,,,
2021-12,블루 아카이브,iOS,아시아,55621,,,
2021-12,블루 아카이브,iOS,유럽,6185,,,
2021-12,블루 아카이브,iOS,일본,219787,,,
2021-12,블루 아카이브,iOS,한국,52430,,,
2022-01,블루 아카이브,AOS,기타,36484,,,
2022-01,블루 아카이브,AOS,미국,39515,,,
2022-01,블루 아카이브,AOS,아시아,213213,,,
2022-01,블루 아카이브,AOS,유럽,32939,,,
2022-01,블루 아카이브,AOS,일본,149716,,,
2022-01,블루 아카이브,AOS,한국,175143,,,
2022-01,블루 아카이브,iOS,기타,3961,,,
2022-01,블루 아카이브,iOS,미국,14131,,,
2022-01,블루 아카이브,iOS,아시아,36005,,,
2022-01,블루 아카이브,iOS,유럽,5119,,,
2022-01,블루 아카이브,iOS,일본,265080,,,
2022-01,블루 아카이브,iOS,한국,39856,,,
2022-02,블루 아카이브,AOS,기타,35921,,,
2022-02,블루 아카이브,AOS,미국,27964,,,
2022-02,블루 아카이브,AOS,아시아,221280,,,
2022-02,블루 아카이브,AOS,유럽,31252,,,
2022-02,블루 아카이브,AOS,일본,134158,,,
2022-02,블루 아카이브,AOS,한국,172477,,,
2022-02,블루 아카이브,iOS,기타,3617,,,
2022-02,블루 아카이브,iOS,미국,10451,,,
2022-02,블루 아카이브,iOS,아시아,35530,,,
2022-02,블루 아카이브,iOS,유럽,4823,,,
2022-02,블루 아카이브,iOS,일본,234109,,,
2022-02,블루 아카이브,iOS,한국,38023,,,
2022-03,블루 아카이브,AOS,기타,33708,,,
2022-03,블루 아카이브,AOS,미국,26901,,,
2022-03,블루 아카이브,AOS,아시아,210075,,,
2022-03,블루 아카이브,AOS,유럽,30482,,,
2022-03,블루 아카이브,AOS,일본,99270,,,
2022-03,블루 아카이브,AOS,한국,148659,,,
2022-03,블루 아카이브,iOS,기타,3386,,,
2022-03,블루 아카이브,iOS,미국,10039,,,
2022-03,블루 아카이브,iOS,아시아,34365,,,
2022-03,블루 아카이브,iOS,유럽,4853,,,
2022-03,블루 아카이브,iOS,일본,170379,,,
2022-03,블루 아카이브,iOS,한국,32341,,,
2022-04,블루 아카이브,AOS,기타,34160,,,
2022-04,블루 아카이브,AOS,미국,25888,,,
2022-04,블루 아카이브,AOS,아시아,204419,,,
2022-04,블루 아카이브,AOS,유럽,32895,,,
2022-04,블루 아카이브,AOS,일본,95746,,,
2022-04,블루 아카이브,AOS,한국,130757,,,
2022-04,블루 아카이브,iOS,기타,3662,,,
2022-04,블루 아카이브,iOS,미국,10366,,,
2022-04,블루 아카이브,iOS,아시아,34560,,,
2022-04,블루 아카이브,iOS,유럽,4970,,,
2022-04,블루 아카이브,iOS,일본,163269,,,
2022-04,블루 아카이브,iOS,한국,28485,,,
2022-05,블루 아카이브,AOS,기타,34789,,,
2022-05,블루 아카이브,AOS,미국,23958,,,
2022-05,블루 아카이브,AOS,아시아,217746,,,
